Symbol,Date,Open,High,Low,Close,Volume,QualityFlag,SourceURL
BRK.B,2021-06-22,277.57,277.71,275.93,276.92,5225694,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-06-23,276.89,277,274.55,274.66,4539789,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-06-24,275,276.5765,274.05,275.49,5458502,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-06-25,276.37,279.31,275.35,278.38,5578532,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-06-28,278.82,279.06,275.6,276.61,4026852,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-06-29,276.69,277.975,275.245,276.21,4472125,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-06-30,275.89,278.44,275.66,277.92,4477624,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-01,278.2,280.3,277.55,280.17,3648864,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-02,281.41,281.41,278.57,279.12,3683408,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-06,278.28,278.28,275.095,277.32,4402866,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-07,275.99,279.69,275.8,279.24,4413063,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-08,276.99,277.74,273.16,274.1,5371245,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-09,276.03,280.88,275.74,280.49,4897655,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-12,279.05,282.2241,278.2735,280.11,4283827,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-13,280.11,280.41,278.36,279.21,3140661,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-14,279.07,280.7599,277.77,278.31,4108516,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-15,277.13,280.64,277.09,279.72,3276235,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-16,280.93,280.93,277.22,277.9,3437180,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-19,274.21,275.5,270.73,272.66,5235001,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-20,272.66,277.805,272,276.89,4738502,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-21,277.64,280.9199,277.63,279.88,3437714,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-22,278.59,279.27,277.42,277.7,2566626,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-23,279.05,279.92,277.74,278.49,3218484,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-26,277.78,280.25,277.78,278.8,2424999,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-27,278.07,281.09,276.91,280.78,3390459,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-28,280.8,280.98,277.6,278.1,3795143,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-29,279.29,281.24,279.08,279.76,3545503,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-07-30,280.01,281.08,277.6,278.29,3608251,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-02,279.31,281.98,277.73,278.14,3098942,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-03,279.05,282.51,276.77,281.8,3631865,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-04,280.17,280.92,278.64,278.78,3026158,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-05,280.16,282,278.33,280.21,3585736,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-06,281.82,285.83,281.5,285.63,4838296,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-09,287.86,288.73,286.061,287.23,3678930,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-10,287.01,289.06,286,288.94,3134725,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-11,289.45,291.82,288.83,291.28,3475795,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-12,291.81,291.81,288.93,290.24,3171022,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-13,290.61,291.05,287.12,287.89,3115822,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-16,287,289.49,285.21,289.45,3564606,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-17,288.53,290.77,287.6,289.1,3626986,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-18,289,290.07,285.95,286.36,3882015,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-19,284.96,287.155,283.98,285.13,3394084,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-20,284.96,285.92,283.95,285.27,2846685,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-23,287.38,287.38,285.39,285.62,2957033,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-24,286.01,286.58,284.18,286.02,3187411,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-25,286.2,288.56,285.22,287.3,2975425,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-26,288.16,288.17,284.985,285.27,3342019,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-27,285.62,286.71,285.121,286.6,3485834,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-30,286.3,287.04,285.02,285.66,3505799,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-08-31,285.28,286.33,284.76,285.77,6498911,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-09-01,286.59,287.14,284.85,285.26,3326024,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-09-02,285.35,286.44,284.21,285.05,3969981,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-09-03,284.3,284.82,281.71,281.89,4497446,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-09-07,281.91,281.91,278.73,278.9,4866579,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
BRK.B,2021-09-08,278.18,279.95,277.59,279.34,4647350,,https://api.nasdaq.com/api/quote/BRK.B/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
